index,label,text
0,Acne,"My skin a developed exceedingly terrible rash that is not inherited . It has has lot of blackheads and pus-filled pimples . Furthermore , my skin has been a sensitive ."
1,Psoriasis,"My skin has a silvery film , particularly on my back , weapons system and scalp . This dusting is composed of tiny scales that well peel off when scratched ."
2,Pneumonia,"Lately I 've been experiencing chills , fatigue , a cough , a high fever , and difficulty breathing . I 've been sweating a lot and just feeling really . and weak sick also 've I had some phlegm that 's been really thick and dark ."
3,Psoriasis,fingers and soles have thick skin that cracked severely . These fractures and frequently . The fractures are itchy and covered with scales .
4,diabetes,I often feel the want to wee-wee and experience these intense want . I often feel dizzy and confused . I also lost my sight .
5,Acne,"I 've recently struggled with a really irritating skin rash . There are blackheads and pus-filled pimple all over it . Additionally , my skin has make up scurring a lot ."
6,Typhoid,"I've had a high fever, particularly at night. It's been quite unpleasant. There is a little headache, as well as constipation and diarrhea. I don't feel like eating anything."
7,Chicken pox,"I have a high fever and red spots and rashes all over my and . I feel exhausted body have completely lost , appetite my which has made me weak and lethargic . I am really worried ."
8,Bronchial Asthma,"I 've had a lot of sleepiness , a cough . refuses to go away , and been difficulty that I 've breathing coughing up a lot of thick , mucoid saliva and have a high fever ."
9,Typhoid,"Diarrhea has been pain watery and foul-smelling , and it 's been accompanied by feel really . I abdominal like vomiting most of the time ."
10,Migraine,"I have experiencing acid reflux and difficulty digesting my food , along with regular and impaired vision"
11,gastroesophageal reflux disease,"I have a persistent sour taste my mouth , even when I have n't eaten anything acidic . I get frequent hiccups feeling of lump in my ."
12,Impetigo,"in that respect are sores on my face and mostly near my nose and lips . The sores are causing discomfort or pain , and there is adenine discharge of yellow or rust-colored fluid from them ."
13,Fungal infection,"My skin has been really fretful lately , and it occasionally erupts into a rash . In addition , I have a few odd areas of skin that are a different coloration from the rest period of me , and occasionally I develop little bumps that look like nodules ."
14,gastroesophageal reflux disease,"terrible occasionally have trouble swallowing food of because the tingling in my throat , I breath , and bad taste in my mouth ."
15,Dimorphic Hemorrhoids,I 've been having a lot of trouble with my bowel movements lately . and 's hard to go and it hurts when I do . I anus is really sore and it 's been bleeding when I go . It 's really painful It My 'm really uncomfortable .
16,Typhoid,"I been having a lot of trouble staying because of the vomiting and diarrhea . I have a fever , constipation , and a headache . I am also starting to a strange pain in my stomach area and ca n't do anything physical ."
17,Bronchial Asthma,"Hey , . 've got a dry cough quite trouble breathing , and a high fever I I 'm producing a lot of mucus and am feeling , weak and exhausted ."
18,Malaria,"Strong itchiness , chills , nausea , and deoxyadenosine monophosphate high temperature have been plaguing me . Besides having a headache , I 'm also perspiring a lot . My muscles are quite sore , and I feeling sick ."
19,Psoriasis,"atomic number 53 've had trouble sleeping because of the itching and pain produced by the rash . My nails have little indent , which is really alarming . There is a noticeable inflammation in my nails ."
20,Bronchial Asthma,"been shortness of breath , a persistent cough , and a high fever . 've also been producing a lot of thick , mucoid , 'm feeling so drained and exhausted . It 's been hard to deal with all of this"
21,Acne,I awoke this morning to see a atrocious rash on my skin . There are several blackheads and pimples loaded with pus . My skin take also been scurrying about .
22,Psoriasis,"The skin on my genitals is red and inflamed . It is often itchy , burning , and uncomfortable . There are rashes on parts of the body too ."
23,Dimorphic Hemorrhoids,"'ve recently been suffering from constipation and digestive discomfort . My anus is quite painful , it has been bleeding whenever I go . It 's excruciatingly painful and I 'm quite uneasy ."
24,Typhoid,"I 've feels been pain some diarrhea and constipation , which has been really worrying . It also like a sharp , stabbing experiencing in my belly area . I feel tired all the time ."
25,Bronchial Asthma,"With my persistent , , and exhaustion , I been struggling I have a high fever and have been a lot of thick , mucoid sputum while coughing . I currently feel rather sick as a result of draining and tiresome everything has been ."
26,Arthritis,"My muscles have been really weak , and my neck has been extremely stiff have My joints . swollen , making it difficult to move . about Walking has been excruciatingly uncomfortable ."
27,Varicose Veins,The cramps in calves are making it difficult for me to walk . I after working for some time I believe is the reason behind this .
28,Hypertension,"While taking a , I suddenly started experiencing headache , chest and dizziness after feeling fine all day . then it has for me to concentrate and focus"
29,Dengue,I have apetite experiencing muscle pain back makes it difficult for me to move around . I have lost my been and feel vomiting . My legs and that pain a lot .
30,Varicose Veins,"The skin on my calves constitute itchy and inflamed , causing a lot of discomfort and difficulty sleeping at night . The blood vas have started to protrude out , which is concerning ."
31,Hypertension,"I fine all day , but when I driving home from work , I suddenly started to have headache chest discomfort , and dizziness . Since then , been challenging for me concentrate and focus while ."
32,Psoriasis,My nails have small dents pits in them and they often feel inflammatory and tender to the touch . Even there are rashes on my arms .
33,Typhoid,"I had some and belly pain , which has been really uncomfortable . The pain has been getting and it 's really my daily life ."
34,Varicose Veins,"The veins on my legs are causing a lot of discomforts when I long for sit periods of time . They are swollen and protruding from my skin , . them painful and noticeable making"
